m,k,b
8.108074,6.6648946,2.6316812
5.6482677,3.9343987,2.7218864
9.4411745,3.357879,1.9752891
8.091767,6.6994433,2.9194372
8.426754,5.5359216,1.538228
6.0501776,2.6932535,1.7002529
6.281886,4.391623,2.3646553
10.049429,4.70262,2.408205
12.845196,3.506962,1.0160574
11.25397,5.369112,2.6925573
10.408341,2.5673063,1.2140608
12.488162,4.682727,2.6091561
10.320089,5.923263,1.1370345
8.49578,6.2819495,1.5787499
8.0222225,4.547531,2.4228268
10.86813,6.2734184,2.1385303
12.930386,6.595878,1.8980272
12.63003,5.577809,2.3949265
8.582787,3.5500164,1.0757827
12.932089,5.874845,2.3764749
11.062835,3.072647,1.2093582
10.502777,5.900755,2.6102169
7.3598123,6.9511867,1.8837756
8.35152,4.9735284,2.2596166
6.4520555,2.616621,1.88839
6.035368,3.0832994,2.0521672
7.7503095,3.4582036,1.3134097
5.2449064,6.031752,1.6445924
6.3764977,5.396912,1.3825567
13.487851,4.120335,1.2571942
12.513062,5.1626015,1.0210265
10.862023,2.3429203,2.5803459
11.638059,2.7726004,1.9678595
10.329308,4.641954,1.9838293
10.750254,3.1521592,2.1075184
8.481049,4.9696765,1.1046307
11.956464,5.1581683,2.4018593
7.1111484,3.8282266,1.7354704
5.7513947,2.4654834,2.086935
13.694751,5.339084,2.7843673
9.178742,5.4709225,1.2097031
11.290621,4.1493993,2.301164
12.958565,5.7812486,2.7084734
12.518116,3.9389594,1.8152426
13.682378,3.7527044,2.2404268
8.592097,3.828517,2.3989143
13.502668,4.8759813,2.792802
9.875209,5.913044,1.5250365
9.878692,3.0323884,2.134504
9.916432,4.0336943,2.0227017
9.548777,4.2835946,1.112661
9.217647,6.5413795,2.2240927
13.344739,4.990345,1.4270833
14.043158,3.7872496,2.0588045
11.909076,3.9254818,2.0545628
11.994724,2.7524772,1.8111104
12.779554,4.180289,2.0087707
10.761483,3.7702723,1.949787
8.724151,4.441431,1.8719314
14.976439,3.7155027,2.0316355
13.018486,2.646808,1.9715472
9.562412,3.7464564,2.5333455
11.208875,4.6607018,1.467298
12.709871,3.0823781,1.5606184
5.650736,6.3412757,1.6637914
9.378735,4.7106485,1.6863861
11.458842,3.677201,2.1255386
10.677103,4.7406626,2.2056956
11.376895,3.930558,2.0335968
8.343425,4.225169,1.7826928
12.44146,3.941838,2.363593
9.350297,3.3599613,2.813844
7.6254115,5.562757,1.382462
13.098014,2.5937681,2.0978587
10.00665,6.5505867,1.1317667
9.348602,5.95711,1.3764274
9.053835,4.8096056,2.317797
12.395491,6.029814,2.3844254
10.844216,4.875436,2.5841098
8.645534,4.790807,2.783998
7.74381,3.4020495,2.1788542
7.136304,2.7671523,1.529982
7.4509964,5.578347,2.0130644
5.214152,4.592747,2.134309
6.301442,4.2418876,2.3599856
9.149553,3.6283607,2.3118954
9.819559,3.0102112,1.4754252
11.960224,2.3184862,1.4307786
10.442869,3.509306,1.5598197
10.96769,3.0378995,2.7529063
8.213661,6.9677935,2.3359458
12.166188,5.734696,2.004435
9.185828,2.923402,2.4543788
9.03804,4.343212,1.9311186
13.396515,3.9980206,2.2657647
8.220402,2.365224,1.563767
5.2139335,5.4452133,1.2342696
13.126085,5.0702524,1.6298764
9.045796,4.996127,2.132275
14.19416,4.220421,2.479315
8.938866,4.5682454,1.9202245
6.258422,4.6717854,1.8071411
12.021166,3.6257274,2.3357022
10.293245,2.8203719,1.8412318
9.430101,5.033988,1.9930004
11.117331,5.610282,1.6061919
12.902605,5.2291713,2.0523028
11.272651,5.785932,2.0635777
9.6627655,3.6441596,2.2650747
8.980079,2.4972978,2.223592
9.8570795,2.0086675,2.139158
7.655873,6.3844757,1.739492
14.221958,5.2363787,2.1095998
6.70019,4.904178,1.7779263
10.4583645,4.9363995,2.5836134
9.218294,6.5568976,1.8548807
10.502137,4.738615,1.3802762
10.381979,4.487334,2.1833377
7.5706563,5.352861,1.7028971
10.218717,5.1492524,2.456873
14.910239,5.745834,2.0174153
9.804733,4.4568305,1.9988124
12.081115,4.4593787,2.1970344
7.924053,3.3147104,2.1972685
13.402989,4.5056047,1.3028959
5.867733,4.257976,1.8348951
7.3909607,4.6523466,1.832358
9.707566,3.236841,2.0651345
6.820676,6.4736614,2.0734196
9.238716,3.5302243,1.9440076
11.772932,5.103629,1.7511255
10.818942,3.2470715,1.8213968
10.043253,3.7901301,1.2659541
6.8953996,4.0913444,1.2735777
12.719297,5.856916,2.440359
9.588541,3.4478085,2.0217035
11.443127,2.749241,2.3953857
9.714159,5.3983865,2.174342
9.819683,3.8217483,1.9613256
8.614746,3.5109997,2.74062
11.510235,2.9712255,1.7638575
13.993927,4.6573424,2.3481438
10.722802,4.5775332,1.7726657
9.911475,5.061146,2.2226431
14.288926,2.9837427,2.9297326
5.782382,3.8183184,2.1139948
5.3367043,3.350138,1.9466093
12.610801,4.308431,1.7546695
9.310423,5.9100804,2.0263846
10.578815,3.7180452,2.374467
14.22129,4.798997,2.139458
